Entity|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasArticle|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasChapter|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasFeature|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasPart|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasSection|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasSpan|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasTag|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#inFeature|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#inLayer|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#inTag|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isArticleOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isChapterOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isSectionOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isSpanOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#partOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#taggedSpan|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#article_num|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#article_text|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#chapter_num|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#feature_name|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#layer_name|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#policy_code|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#section_num|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#span_id|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#span_text|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#tag_name|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03|||||||||||"'EU_32004L0008_Chapter_0_Section_0'"||||||"'03'"|"'article 3
definitions
for the purpose of this directive, the following definitions shall apply:
(a) 'cogeneration' shall mean the simultaneous generation in one process of thermal energy and electrical and/or mechanical energy;
(b) 'useful heat' shall mean heat produced in a cogeneration process to satisfy an economically justifiable demand for heat or cooling;
(c) 'economically justifiable demand' shall mean the demand that does not exceed the needs for heat or cooling and which would otherwise be satisfied at market conditions by energy generation processes other than cogeneration;
(d) 'electricity from cogeneration' shall mean electricity generated in a process linked to the production of useful heat and calculated in accordance with the methodology laid down in annex ii;
(e) 'back-up electricity' shall mean the electricity supplied through the electricity grid whenever the cogeneration process is disrupted, including maintenance periods, or out of order;
(f) 'top-up electricity' shall mean the electricity supplied through the electricity grid in cases where the electricity demand is greater than the electrical output of the cogeneration process;
(g) 'overall efficiency' shall mean the annual sum of electricity and mechanical energy production and useful heat output divided by the fuel input used for heat produced in a cogeneration process and gross electricity and mechanical energy production;
(h) 'efficiency' shall mean efficiency calculated on the basis of 'net calorific values' of fuels (also referred to as 'lower calorific values');
(i) 'high efficiency cogeneration' shall mean cogeneration meeting the criteria of annex iii;
(j) 'efficiency reference value for separate production' shall mean efficiency of the alternative separate productions of heat and electricity that the cogeneration process is intended to substitute;
(k) 'power to heat ratio' shall mean the ratio between electricity from cogeneration and useful heat when operating in full cogeneration mode using operational data of the specific unit;
(l) 'cogeneration unit' shall mean a unit that can operate in cogeneration mode;
(m) 'micro-cogeneration unit' shall mean a cogeneration unit with a maximum capacity below 50 kwe;
(n) 'small scale cogeneration' shall mean cogeneration units with an installed capacity below 1 mwe;
(o) 'cogeneration production' shall mean the sum of electricity and mechanical energy and useful heat from cogeneration.
in addition, the relevant definitions in directive 2003/54/ec, and in directive 2001/77/ec shall apply.

'"|||||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9289_span||||||||||"'Form_monitoring'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9289'"|"'efficiency reference value'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9290_span||||||||||"'Ref_OtherPolicy'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9290'"|"'directive 2003/54/ec'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9291_span||||||||||"'Ref_OtherPolicy'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9291'"|"'directive 2001/77/ec'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9292_span||||||||||"'Tech_LowCarbon'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9292'"|"'cogeneration'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9293_span||||||||||"'Energy_Other'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9293'"|"'thermal energy'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9294_span||||||||||"'Energy_Other'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9294'"|"'electrical'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9295_span||||||||||"'Energy_Other'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9295'"|"'mechanical energy'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9296_span||||||||||"'Energy_Other'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9296'"|"'useful heat'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9297_span||||||||||"'Tech_LowCarbon'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_03'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_03_CUR9297'"|"'heat produced in a cogeneration process'"||
